fiber_type,import_export,category,sub_category,year,month,value
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,1,8877.05
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,2,8132.05
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,3,7992.23
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,4,8271.72
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,5,7054.60
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,6,9450.57
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,7,8091.36
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,8,9908.71
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,9,10340.00
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,10,11824.76
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,11,11105.95
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2020,12,8403.70
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,1,10150.06
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,2,9465.01
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,3,11975.61
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,4,11554.88
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,5,13477.56
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,6,12450.17
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,7,12591.46
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,8,12848.62
raw_cotton,import,"yarn, fabric, thread","yarn, thread, cordage, rope",2021,9,10685.99
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,1,9491.52
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,2,9393.34
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,3,8543.61
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,4,9649.82
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,5,9102.02
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,6,12539.83
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,7,18045.98
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,8,16567.71
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,9,18331.16
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,10,19182.78
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,11,18053.84
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2020,12,14730.14
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,1,12062.54
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,2,9475.88
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,3,13194.41
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,4,9982.00
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,5,12496.40
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,6,13355.40
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,7,11085.61
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,8,13495.19
raw_cotton,import,"yarn, fabric, thread",broad woven fabric,2021,9,10923.85
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,1,6678.12
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,2,5764.50
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,3,4477.37
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,4,4695.15
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,5,3552.29
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,6,4813.38
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,7,5124.05
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,8,5260.24
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,9,5810.22
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,10,5840.36
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,11,5114.75
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2020,12,5267.46
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,1,5407.40
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,2,4308.44
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,3,5479.02
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,4,5236.40
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,5,5325.26
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,6,6277.73
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,7,5921.48
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,8,5511.09
raw_cotton,import,"yarn, fabric, thread",broad woven fabric blends,2021,9,5532.12
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,1,12543.49
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,2,10637.62
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,3,8775.65
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,4,10306.81
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,5,6182.98
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,6,11294.60
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,7,15002.20
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,8,17815.92
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,9,14791.81
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,10,14534.09
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,11,12384.65
raw_cotton,import,"yarn, fabric, thread",knit fabric,2020,12,9722.20
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,1,11642.64
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,2,10391.10
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,3,13766.21
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,4,12821.58
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,5,15301.14
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,6,16669.71
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,7,17153.35
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,8,15640.96
raw_cotton,import,"yarn, fabric, thread",knit fabric,2021,9,13039.81
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,1,20882.72
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,2,19118.31
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,3,18084.26
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,4,16159.19
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,5,15926.10
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,6,19502.06
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,7,23435.14
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,8,25871.54
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,9,27161.78
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,10,26692.95
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,11,30554.85
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2020,12,26529.76
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,1,25555.13
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,2,21980.10
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,3,25167.59
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,4,26120.25
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,5,23951.62
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,6,23571.01
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,7,23361.55
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,8,25322.37
raw_cotton,import,"yarn, fabric, thread","narrow, industrial, and misc fabric",2021,9,22491.05
raw_cotton,import,apparel,tops,2020,1,256802.49
raw_cotton,import,apparel,tops,2020,2,242373.22
raw_cotton,import,apparel,tops,2020,3,229320.48
raw_cotton,import,apparel,tops,2020,4,132740.11
raw_cotton,import,apparel,tops,2020,5,83188.92
raw_cotton,import,apparel,tops,2020,6,139621.07
raw_cotton,import,apparel,tops,2020,7,237030.44
raw_cotton,import,apparel,tops,2020,8,267114.97
raw_cotton,import,apparel,tops,2020,9,280547.64
raw_cotton,import,apparel,tops,2020,10,314876.76
raw_cotton,import,apparel,tops,2020,11,265381.42
raw_cotton,import,apparel,tops,2020,12,244491.93
raw_cotton,import,apparel,tops,2021,1,247960.30
raw_cotton,import,apparel,tops,2021,2,239960.23
raw_cotton,import,apparel,tops,2021,3,305370.59
raw_cotton,import,apparel,tops,2021,4,263850.42
raw_cotton,import,apparel,tops,2021,5,298896.67
raw_cotton,import,apparel,tops,2021,6,291421.25
raw_cotton,import,apparel,tops,2021,7,311135.49
raw_cotton,import,apparel,tops,2021,8,345286.71
raw_cotton,import,apparel,tops,2021,9,353788.82
raw_cotton,import,apparel,bottoms,2020,1,174084.23
raw_cotton,import,apparel,bottoms,2020,2,155859.87
raw_cotton,import,apparel,bottoms,2020,3,132172.35
raw_cotton,import,apparel,bottoms,2020,4,84190.10
raw_cotton,import,apparel,bottoms,2020,5,59250.02
raw_cotton,import,apparel,bottoms,2020,6,105240.76
raw_cotton,import,apparel,bottoms,2020,7,166246.05
raw_cotton,import,apparel,bottoms,2020,8,167410.16
raw_cotton,import,apparel,bottoms,2020,9,170941.23
raw_cotton,import,apparel,bottoms,2020,10,189307.98
raw_cotton,import,apparel,bottoms,2020,11,164767.29
raw_cotton,import,apparel,bottoms,2020,12,153002.70
raw_cotton,import,apparel,bottoms,2021,1,173657.31
raw_cotton,import,apparel,bottoms,2021,2,166123.90
raw_cotton,import,apparel,bottoms,2021,3,185262.08
raw_cotton,import,apparel,bottoms,2021,4,146526.63
raw_cotton,import,apparel,bottoms,2021,5,185997.89
raw_cotton,import,apparel,bottoms,2021,6,195928.51
raw_cotton,import,apparel,bottoms,2021,7,219315.05
raw_cotton,import,apparel,bottoms,2021,8,215607.53
raw_cotton,import,apparel,bottoms,2021,9,215514.46
raw_cotton,import,apparel,suits and coats,2020,1,20242.15
raw_cotton,import,apparel,suits and coats,2020,2,14467.21
raw_cotton,import,apparel,suits and coats,2020,3,10728.50
raw_cotton,import,apparel,suits and coats,2020,4,7315.05
raw_cotton,import,apparel,suits and coats,2020,5,5847.31
raw_cotton,import,apparel,suits and coats,2020,6,11697.09
raw_cotton,import,apparel,suits and coats,2020,7,24824.60
raw_cotton,import,apparel,suits and coats,2020,8,34995.74
raw_cotton,import,apparel,suits and coats,2020,9,34503.54
raw_cotton,import,apparel,suits and coats,2020,10,31808.84
raw_cotton,import,apparel,suits and coats,2020,11,24342.09
raw_cotton,import,apparel,suits and coats,2020,12,17324.23
raw_cotton,import,apparel,suits and coats,2021,1,15757.36
raw_cotton,import,apparel,suits and coats,2021,2,13406.95
raw_cotton,import,apparel,suits and coats,2021,3,13731.23
raw_cotton,import,apparel,suits and coats,2021,4,9175.88
raw_cotton,import,apparel,suits and coats,2021,5,12805.95
raw_cotton,import,apparel,suits and coats,2021,6,19246.76
raw_cotton,import,apparel,suits and coats,2021,7,29056.02
raw_cotton,import,apparel,suits and coats,2021,8,36751.11
raw_cotton,import,apparel,suits and coats,2021,9,37108.65
raw_cotton,import,apparel,sweaters,2020,1,4446.29
raw_cotton,import,apparel,sweaters,2020,2,2614.39
raw_cotton,import,apparel,sweaters,2020,3,2029.73
raw_cotton,import,apparel,sweaters,2020,4,1300.67
raw_cotton,import,apparel,sweaters,2020,5,981.14
raw_cotton,import,apparel,sweaters,2020,6,4354.21
raw_cotton,import,apparel,sweaters,2020,7,7243.39
raw_cotton,import,apparel,sweaters,2020,8,13290.48
raw_cotton,import,apparel,sweaters,2020,9,14812.02
raw_cotton,import,apparel,sweaters,2020,10,14957.87
raw_cotton,import,apparel,sweaters,2020,11,9387.40
raw_cotton,import,apparel,sweaters,2020,12,5238.43
raw_cotton,import,apparel,sweaters,2021,1,4207.72
raw_cotton,import,apparel,sweaters,2021,2,3356.71
raw_cotton,import,apparel,sweaters,2021,3,2511.83
raw_cotton,import,apparel,sweaters,2021,4,2122.62
raw_cotton,import,apparel,sweaters,2021,5,3158.81
raw_cotton,import,apparel,sweaters,2021,6,7586.33
raw_cotton,import,apparel,sweaters,2021,7,10974.40
raw_cotton,import,apparel,sweaters,2021,8,15977.89
raw_cotton,import,apparel,sweaters,2021,9,17929.84
raw_cotton,import,apparel,other apparel,2020,1,32144.19
raw_cotton,import,apparel,other apparel,2020,2,26524.83
raw_cotton,import,apparel,other apparel,2020,3,21414.96
raw_cotton,import,apparel,other apparel,2020,4,18108.57
raw_cotton,import,apparel,other apparel,2020,5,21114.16
raw_cotton,import,apparel,other apparel,2020,6,34488.88
raw_cotton,import,apparel,other apparel,2020,7,36702.41
raw_cotton,import,apparel,other apparel,2020,8,37278.58
raw_cotton,import,apparel,other apparel,2020,9,34830.44
raw_cotton,import,apparel,other apparel,2020,10,34847.57
raw_cotton,import,apparel,other apparel,2020,11,28263.74
raw_cotton,import,apparel,other apparel,2020,12,26794.47
raw_cotton,import,apparel,other apparel,2021,1,29678.22
raw_cotton,import,apparel,other apparel,2021,2,27454.77
raw_cotton,import,apparel,other apparel,2021,3,32286.12
raw_cotton,import,apparel,other apparel,2021,4,26796.12
raw_cotton,import,apparel,other apparel,2021,5,31129.17
raw_cotton,import,apparel,other apparel,2021,6,33718.80
raw_cotton,import,apparel,other apparel,2021,7,34243.10
raw_cotton,import,apparel,other apparel,2021,8,36926.09
raw_cotton,import,apparel,other apparel,2021,9,37841.67
raw_cotton,import,headgear,headgear,2020,1,3394.36
raw_cotton,import,headgear,headgear,2020,2,2786.07
raw_cotton,import,headgear,headgear,2020,3,2040.90
raw_cotton,import,headgear,headgear,2020,4,1951.82
raw_cotton,import,headgear,headgear,2020,5,1953.69
raw_cotton,import,headgear,headgear,2020,6,1665.52
raw_cotton,import,headgear,headgear,2020,7,2127.38
raw_cotton,import,headgear,headgear,2020,8,2230.79
raw_cotton,import,headgear,headgear,2020,9,2306.35
raw_cotton,import,headgear,headgear,2020,10,2563.93
raw_cotton,import,headgear,headgear,2020,11,1958.06
raw_cotton,import,headgear,headgear,2020,12,2336.20
raw_cotton,import,headgear,headgear,2021,1,2716.08
raw_cotton,import,headgear,headgear,2021,2,2248.47
raw_cotton,import,headgear,headgear,2021,3,3430.62
raw_cotton,import,headgear,headgear,2021,4,2664.08
raw_cotton,import,headgear,headgear,2021,5,3085.03
raw_cotton,import,headgear,headgear,2021,6,2852.64
raw_cotton,import,headgear,headgear,2021,7,3148.11
raw_cotton,import,headgear,headgear,2021,8,3458.30
raw_cotton,import,headgear,headgear,2021,9,3178.26
raw_cotton,import,home furnishings,blankets,2020,1,5111.56
raw_cotton,import,home furnishings,blankets,2020,2,4259.07
raw_cotton,import,home furnishings,blankets,2020,3,4825.90
raw_cotton,import,home furnishings,blankets,2020,4,4401.09
raw_cotton,import,home furnishings,blankets,2020,5,1959.83
raw_cotton,import,home furnishings,blankets,2020,6,2932.27
raw_cotton,import,home furnishings,blankets,2020,7,4198.10
raw_cotton,import,home furnishings,blankets,2020,8,5552.61
raw_cotton,import,home furnishings,blankets,2020,9,6462.57
